question,gold_answer,predicted_answer,retrieval_hit,exact_match,token_f1,top_passages,retrieved_chunks
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard,False,True,1.0,Andrew Lloyd Webber | Andrew Lloyd Webber | Andrew Lloyd Webber | Andrew Lloyd Webber | Andrew Lloyd Webber,"[1] Andrew Lloyd Webber
and Joseph and the Amazing Technicolor Dreamcoat – as well as Rodgers and Hammerstein's The Sound of Music, which Lloyd Webber revived in 2006 at the London Palladium, and the 2002 musical Bombay Dreams.
---
[2] Andrew Lloyd Webber
Lloyd Webber's first collaboration with lyricist Tim Rice was The Likes of Us, a musical based on the true story of Thomas John Barnardo. Although composed in 1965, it was not publicly performed until 2005, when a production was staged at Lloyd Webber's Sydmonton Festival. In 2008, amateur rights were released by the National Operatic and Dramatic Association (NODA) in association with the Really Useful Group. The first amateur performance was by a children's theatre group in Cornwall called ""Kidz R Us"".
---
[3] Andrew Lloyd Webber
Andrew Lloyd Webber, Baron Lloyd-Webber   (born 22 March 1948) is an English composer and impresario of musical theatre.
---
[4] Andrew Lloyd Webber
by Richard Stilgoe, with whom Lloyd-Webber co-wrote the book of the musical. It became a hit and is still running in both the West End and on Broadway; in January 2006 it overtook Cats as the longest-running musical on Broadway. On 11 February 2012, Phantom of the Opera played its 10,000th show on Broadway.
---
[5] Andrew Lloyd Webber
In 1998 Whistle Down the Wind made its debut, a musical written with lyrics supplied by Jim Steinman. Originally opening in Washington, Lloyd Webber was reportedly not happy with the casting or Harold Prince's production and the show was subsequently revised for a London staging directed by Gale Edwards, the production is probably most notable for the number-one hit from Boyzone ""No Matter What"" which left only the UK charts when the price of the CD single was changed to drop it out of the official top"
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,Henry Campbell-Bannerman,False,True,1.0,Arthur Balfour | Arthur Balfour | Arthur Balfour | Arthur Balfour | Arthur Balfour,"[1] Arthur Balfour
Arthur James Balfour, 1st Earl of Balfour,  (;  25 July 1848 – 19 March 1930) was a British Conservative politician who was the Prime Minister of the United Kingdom from July 1902 to December 1905, and later Foreign Secretary.
---
[2] Arthur Balfour
Balfour remained important in the party, however, and when the Unionists joined Asquith's coalition government in May 1915, Balfour succeeded Churchill as First Lord of the Admiralty. When Asquith's government collapsed in December 1916, Balfour, who seemed a potential successor to the premiership, became Foreign Secretary in Lloyd George's new administration, but not in the small War Cabinet, and was frequently left out of inner workings of government. Balfour's service as Foreign Secretary was notable
---
[3] Arthur Balfour
of Liberal peers by the new King, George V. The exhausted Balfour resigned as party leader after the crisis, and was succeeded in late 1911 by Andrew Bonar Law.
---
[4] Arthur Balfour
On the death of W.H. Smith in 1891, Balfour became First Lord of the Treasury – the last in British history not to have been concurrently Prime Minister as well – and Leader of the House of Commons. After the fall of the government in 1892 he spent three years in opposition. When the Conservatives returned to power, in coalition with the Liberal Unionists, in 1895, Balfour again became Leader of the House and First Lord of the Treasury. His management of the abortive education proposals of 1896 showed a
---
[5] Arthur Balfour
In 1922 he, with most of the Conservative leadership, resigned with Lloyd George's government following the Conservative back-bench revolt against continuance of the coalition. Bonar Law became Prime Minister. On 5 May 1922, Balfour was created Earl of Balfour and Viscount Thaprain, 'of"
Who had a 70s No 1 hit with Kiss You All Over?,Exile,Exile,True,True,1.0,Kiss You All Over | Kiss You All Over | Diana Ross | Kiss You All Over | Diana Ross,"[1] Kiss You All Over
""Kiss You All Over"" is a 1978 song performed by the group Exile. It was written by Mike Chapman and Nicky Chinn. It was included on the band's album Mixed Emotions, and it featured Jimmy Stokley and guitarist JP Pennington on lead vocals. It was a number one single in the United States, but proved to be Exile's only big hit in the pop rock market.  Billboard ranked it as the No. 5 song for 1978. In the United Kingdom, the song was released on Mickie Most's RAK Records, and it peaked at number 6 in the UK
---
[2] Kiss You All Over
Lead vocalist on the song Stokley was ousted from the band in 1979, his health declining thereafter until he died at the age of 41 in 1985. The band moved into country music following the synth-pop success of ""Kiss You All Over"" and the 1979 follow-on hit ""You Thrill Me"" (reaching #40 (UK no. 67)) and ""How Could This Go Wrong"", #88 on the charts. ""Take Me Down"" peaked at #3 on the Euro Hit 40 in the mid-1980s.

Cover versions
---
[3] Diana Ross
In 1984, Ross released Swept Away. This featured a duet with Julio Iglesias, ""All of You"", which was featured on both the albums they had then released—his 1100 Bel Air Place as well as her Swept Away. It became international hit, as did the ballad ""Missing You"", which was a tribute to Marvin Gaye, who had died earlier that year after the moving poignant music video made a rare premiere on that year's American Music Awards show. Swept Away proved to be a success garnering gold level sales.
---
[4] Kiss You All Over
* 1978: A version by Jim Mundy and Terri Melton made number 87 on the Hot Country Songs charts.
* 1978: A Disco version was covered by Broadway
* 1979: Along with the track ""So Strange"", Phyllis Hyman covered this song and had a minor disco hit, peaking at number 75.
* Also in 1979, Millie Jackson covered this song for her album A Moment's Pleasure and it was released as a single in Europe.
* 1982: A lovers rock version by Samantha Rose produced by reggae producer Winston Curtis was recorded in London.
---
[5] Diana Ross
Going To)"". Her 1976 album Diana Ross included her fourth number-one hit ""Love Hangover"". In 1979, Ross released the album The Boss. Her 1980 album Diana which reached number 2 on the Billboard albums chart and spawned the number-one hit ""Upside Down"" and the international hit ""I'm Coming Out"". After leaving Motown, Ross achieved her sixth and final number-one hit with the duet ""Endless Love""."
What claimed the life of singer Kathleen Ferrier?,Cancer,cancer,True,True,1.0,Kathleen Ferrier | Kathleen Ferrier | Kathleen Ferrier | Kathleen Ferrier | Kathleen Ferrier,"[1] Kathleen Ferrier
Kathleen Mary Ferrier, CBE (22 April 1912 - 8 October 1953) was an English contralto singer who achieved an international reputation as a stage, concert and recording artist, with a repertoire extending from folksong and popular ballads to the classical works of Bach, Brahms, Mahler and Elgar. Her death from cancer, at the height of her fame, was a shock to the musical world and particularly to the general public, which was kept in ignorance of the nature of her illness until after her death.
---
[2] Kathleen Ferrier
last that Ferrier signed herself.  As she weakened she saw only her sister and a few very close friends, and, although there were short periods of respite, her decline was unremitting. She died at University College Hospital on 8 October 1953, aged 41; the date for which, while still hopeful of recovery, she had undertaken to sing Frederick Delius's A Mass of Life at the 1953 Leeds Festival.  Ferrier was cremated a few days later, at Golders Green Crematorium, after a short private service.Leonard, pp.
---
[3] Kathleen Ferrier
Ferrier was diagnosed with breast cancer in March 1951. In between periods of hospitalisation and convalescence she continued to perform and record; her final public appearance was as Orfeo, at the Royal Opera House in February 1953, eight months before her death. Among her many memorials, the Kathleen Ferrier Cancer Research Fund was launched in May 1954.  The Kathleen Ferrier Scholarship Fund, administered by the Royal Philharmonic Society, has since 1956 made annual awards to aspiring young professional
---
[4] Kathleen Ferrier
The news of Ferrier's death came as a considerable shock to the public. Although some in musical circles knew or suspected the truth, the myth had been preserved that her absence from the concert scene was temporary. The opera critic Rupert Christiansen, writing as the 50th anniversary of Ferrier's death approached, maintained that ""no singer in this country has ever been more deeply loved, as much for the person she was as for the voice she uttered"". Her death, he continued, ""quite literally shattered the
---
[5] Kathleen Ferrier
Early in 1951, while on tour in Rome, Ferrier learned of her father's death at the age of 83.  Although she was upset by this news, she decided to continue with the tour; her diary entry for 30 January reads: ""My Pappy died peacefully after flu and a slight stroke"".  She returned to London on 19 February, and was immediately busy rehearsing with Barbirolli and the Hallé a work that was new to her: Ernest Chausson's Poème de l'amour et de la mer. This was performed at Manchester on 28 February, to critical"
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Lauren Bacall,True,True,1.0,Lauren Bacall | Greta Garbo | Greta Garbo | Lauren Bacall | Greta Garbo,"[1] Lauren Bacall
Early career and modeling

In 1941 Bacall took lessons at the American Academy of Dramatic Arts, where she was classmates with Kirk Douglas,  while working as a theatre usher at the St. James Theatre and fashion model.

She made her acting debut on Broadway in 1942, at age 17, as a walk-on in Johnny 2 X 4. By then, she lived with her mother on Bank Street, Greenwich Village, and in 1942 she was crowned Miss Greenwich Village.
---
[2] Greta Garbo
Greta Garbo, born Greta Lovisa Gustafsson (; 18 September 1905 – 15 April 1990), was a Swedish film actress and an international star and icon during the 1920s and 1930s. Garbo was nominated three times for the Academy Award for Best Actress and received an honorary one in 1954 for her ""luminous and unforgettable screen performances."" In 1999, the American Film Institute ranked Garbo fifth on their list of the greatest female stars of Classic Hollywood Cinema, after Katharine Hepburn, Bette Davis, Audrey
---
[3] Greta Garbo
In 1949, she was offered the role of fictional silent film star Norma Desmond in Sunset Boulevard. However, after a meeting with film producer Charles Brackett, she insisted that she had no interest in the part whatsoever.
---
[4] Lauren Bacall
Lauren Bacall (, born Betty Joan Perske; September 16, 1924 – August 12, 2014) was an American actress known for her distinctive voice and sultry looks. She was named the 20th greatest female star of Classic Hollywood cinema by the American Film Institute, and received an Academy Honorary Award from the Academy of Motion Picture Arts and Sciences in 2009, ""in recognition of her central place in the Golden Age of motion pictures.""
---
[5] Greta Garbo
the terms of her contract and she became increasingly selective about her roles. Her success continued in films such as Mata Hari (1931) and Grand Hotel (1932). Many critics and film historians consider her performance as the doomed courtesan Marguerite Gautier in Camille (1936) to be her finest. The role gained her a second Academy Award nomination. Garbo's career soon declined, however, and she was one of the many stars labeled ""Box Office Poison"" in 1938. Her career revived upon her turn to comedy in"
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,Moonwalk,True,True,1.0,Michael Jackson | Michael Jackson | Michael Jackson | Michael Jackson | Michael Jackson,"[1] Michael Jackson
In 1988, Jackson released his only autobiography, Moonwalk, which took four years to complete and sold 200,000 copies.  He wrote about his childhood, the Jackson 5, and the abuse he had suffered.  He also wrote about his changing facial appearance, attributing it to puberty, weight loss, a strict vegetarian diet, a change in hair style, and stage lighting. Moonwalk reached the top position on The New York Times best sellers' list.  Jackson released a film, Moonwalker, which featured live footage and short
---
[2] Michael Jackson
The eighth child of the Jackson family, Michael made his professional debut in 1964 with his elder brothers Jackie, Tito, Jermaine, and Marlon as a member of the Jackson 5, and began his solo career in 1971. In the early 1980s, Jackson became a dominant figure in popular music. His music videos, including those of ""Beat It"", ""Billie Jean"", and ""Thriller"" from his 1982 album Thriller, are credited with breaking racial barriers and transforming the medium into an art form and promotional tool. The popularity
---
[3] Michael Jackson
Michael Joseph Jackson   (August 29, 1958 – June 25, 2009) was an American singer, songwriter, record producer, dancer, and actor. Called the King of Pop,    his contributions to music, dance and fashion    along with his publicized personal life made him a global figure in popular culture for over four decades.
---
[4] Michael Jackson
Michael Joseph Jackson was born on August 29, 1958. He was the eighth of ten children in a working class African-American family living in a two-bedroom house on Jackson Street in Gary, Indiana, an industrial city and a part of the Chicago metropolitan area.   His mother, Katherine Esther Scruse, was a devout Jehovah's Witness. She played clarinet and piano and once aspired to be a country-and-western performer, but worked part-time at Sears to support the family.  Michael's father, Joseph Walter ""Joe""
---
[5] Michael Jackson
Michael Jackson was inducted onto the Hollywood Walk of Fame in 1980 as member of the Jacksons and in 1984 as solo artist. Throughout his career he received numerous honors and awards, including the World Music Awards' Best-Selling Pop Male Artist of the Millennium, the American Music Award's Artist of the Century Award and the Bambi Pop Artist of the Millennium Award.  He was a double-inductee of the Rock and Roll Hall of Fame, once as a member of The Jackson 5 in 1997 and later as a solo artist in 2001."
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Kilimanjaro,True,True,1.0,Mount Kilimanjaro | Tanzania | Tanzania | Tanzania | Tanzania,"[1] Mount Kilimanjaro
Mount Kilimanjaro,  with its three volcanic cones, ""Kibo"", ""Mawenzi"", and ""Shira"", is a dormant volcano in Tanzania. It is the highest mountain in Africa, and rises approximately 4,900 m (16,000 ft) from its base to  above sea level. The first recorded ascent to the summit of the mountain was by Hans Meyer and Ludwig Purtscheller in 1889. The mountain is part of the Kilimanjaro National Park and is a major climbing destination. The mountain has been the subject of many scientific studies because of its
---
[2] Tanzania
to the east. Kilimanjaro, Africa's highest mountain, is in northeastern Tanzania.
---
[3] Tanzania
Tanzania,This approximates the Kiswahili pronunciation. However, is also heard in English. officially the United Republic of Tanzania (), is a large country in Eastern Africa within the African Great Lakes region. Parts of the country are in Southern Africa. It is bordered by Kenya and Uganda to the north; Rwanda, Burundi, and the Democratic Republic of the Congo to the west; Zambia, Malawi, and Mozambique to the south; and by the Indian Ocean to the east. Kilimanjaro, Africa's highest mountain, is in
---
[4] Tanzania
Tanzania is mountainous and densely forested in the northeast, where Mount Kilimanjaro is located. Three of Africa's Great Lakes are partly within Tanzania. To the north and west lie Lake Victoria, Africa's largest lake, and Lake Tanganyika, the continent's deepest lake, known for its unique species of fish. To the southwest lies Lake Nyasa. Central Tanzania is a large plateau, with plains and arable land. The eastern shore is hot and humid, with the Zanzibar Archipelago just offshore.
---
[5] Tanzania
several offshore islands, including Unguja (Zanzibar), Pemba, and Mafia. The country is the site of Africa's highest and lowest points: Mount Kilimanjaro, at  above sea level, and the floor of Lake Tanganyika, at 352 m below sea level, respectively."
The flag of Libya is a plain rectangle of which color?,Green,green,True,True,1.0,Flag | Flag of Libya | Flag of Libya | Flag of Libya | Flag of Libya,"[1] Flag
The de jure flag of Libya under Muammar Gaddafi, which consisted of a rectangular field of green, was for a long period the only national flag using a single colour and no design or insignia. However, other historical states have also used flags without designs or insignia, such as the Soviet Republic of Hungary, whose flag was a plain field of red.

Colours are normally described with common names, such as ""red"", but may be further specified using colourimetry.
---
[2] Flag of Libya
The flag of the Kingdom of Libya was adopted when Libya gained full independence in 1951. It consisted of a white star and crescent on a triband red-black-green design, with the central black band being twice the width of the outer bands.  The design was based on the banner of the Senussi dynasty from Cyrenaica, which consisted of a black field and star and crescent design, and was later used as the flag of the region. The red represented the blood of the Libyan people who died under the Italian fascist
---
[3] Flag of Libya
The flag of Libya was originally introduced in 1951, following the creation of the Kingdom of Libya. It was designed by Omar Faiek Shennib and approved by King Idris Al Senussi who comprised the UN delegation representing the regions of Cyrenaica, Fezzan and Tripolitania at UN unification discussions.
---
[4] Flag of Libya
Great Socialist People's Libyan Arab Jamahiriya (1977–2011)

The flag of the Libyan Arab Jamahiriya was adopted on 11 November 1977 and consisted of a green field. It was the only national flag in the world with just one color and no design, insignia, or other details.  It was chosen by Libyan leader Muammar Gaddafi to symbolize his  political philosophy (after his Green Book).
---
[5] Flag of Libya
An excerpt from the memoirs of Adrian Pelt states, ""during deliberations of the Libyan National Constitutional Convention, a paper drawing of a proposed national flag was presented to the convention by Omar Faiek Shennib (distinguished member of the delegation from Cyrenaica). The design was composed of three colors; red, black and green, with a white Crescent and Star centered in the middle black stripe. Mr. Shennib informed the delegates that this design had met the approval of His Highness Emir of"
Of which African country is Niamey the capital?,Niger,Niger,True,True,1.0,Niamey | Niamey | Niamey | Niamey | Niamey,"[1] Niamey
Niamey is the capital and largest city of the West African country Niger. Niamey lies on the Niger River, primarily situated on the east bank. It is an administrative, cultural and economic centre. Niamey's population, which was estimated at 774,235 in 2006,  is now projected to be much higher.

The city is located in a pearl millet growing region, while manufacturing industries include bricks, ceramic goods, cement and weaving.

History
---
[2] Niamey
Niamey was probably founded in the eighteenth century, but was of little importance to most of the country until the French developed a colonial post in the 1890s. This rapidly grew into an important centre. In 1926 it became the capital of Niger, and the population gradually increased, from about 3,000 in 1930 to around 30,000 in 1960.
---
[3] Niamey
Several hospitals are located in Niamey, including the CURE Hôpital des Enfants au Niger, National Hospital and Lamordé University Hospital.

In December 2005, it was the host of the Jeux de la Francophonie.

Niamey makes up a special capital district of Niger, which is surrounded by the department of Tillabéri.

Niamey hosts the African Centre of Meteorological Application for Development. 

Religion
---
[4] Niamey
Until 1998, all of greater Niamey was part of Tillabery Region, which prior to 1992 was named the Niamey Department.  The CUN remains surrounded on all sides by Tillabery Region. 

Transport

Niamey is served by the Diori Hamani International Airport, located 12 km south-east of the city and is crossed by the RN1 highway. Niamey railway station, officially inaugurated in April 2014, is the first one built in Niger.  

Education

Colleges and universities:
* Abdou Moumouni University
---
[5] Niamey
The city of Niamey itself is governed as an autonomous first-level administrative block, the Niamey Urban Community (fr. Communauté Urbaine de Niamey, CUN). It includes five Urban Communes, divided into 44 ""Districts"" and 99 ""Quartiers"", including formerly independent towns. It is a co-equal first division subdivision with the seven Regions of Niger. The Niamey Urban Community includes an administration and Governor appointed by national leaders. Like the rest of Niger, Niamey has seen a decentralisation"
Which musical featured the song The Street Where You Live?,My Fair Lady,My Fair Lady,True,True,1.0,On the Street Where You Live | Musical theatre | Musical theatre | Musical theatre | Andrew Lloyd Webber,"[1] On the Street Where You Live
""On the Street Where You Live"" is a song with music by Frederick Loewe and lyrics by Alan Jay Lerner, from the 1956 Broadway musical, My Fair Lady.  It is sung in the musical by the character Freddy Eynsford-Hill, who was portrayed by John Michael King in the original production. In the 1964 film version, it was sung by Bill Shirley, dubbing for actor Jeremy Brett.
---
[2] Musical theatre
In 1960, The Fantasticks was first produced off-Broadway. This intimate allegorical show would quietly run for over 40 years at the Sullivan Street Theatre in Greenwich Village, becoming by far the longest-running musical in history. Its authors produced other innovative works in the 1960s, such as Celebration and I Do! I Do!, the first two-character Broadway musical. The 1960s would see a number of blockbusters, like Fiddler on the Roof (1964; 3,242 performances), Hello, Dolly! (1964; 2,844 performances),
---
[3] Musical theatre
variations of themselves or each other in the show. With music by Marvin Hamlisch and lyrics by Edward Kleban, A Chorus Line first opened at Joseph Papp's Public Theater in lower Manhattan. What initially had been planned as a limited engagement eventually moved to the Shubert Theatre on Broadway  for a run of 6,137 performances, becoming the longest-running production in Broadway history up to that time. The show swept the Tony Awards and won the Pulitzer Prize, and its hit song, What I Did for Love,
---
[4] Musical theatre
City, Iowa of Meredith Willson's The Music Man to the alleys of Manhattan's Upper West Side. Apparently Tony Award voters were of a similar mind, since they favored the former over the latter. West Side Story had a respectable run of 732 performances (1,040 in the West End), while The Music Man ran nearly twice as long, with 1,375 performances. However, the film of West Side Story was extremely successful.   Laurents and Sondheim teamed up again for Gypsy (1959, 702 performances), with Jule Styne providing
---
[5] Andrew Lloyd Webber
and Joseph and the Amazing Technicolor Dreamcoat – as well as Rodgers and Hammerstein's The Sound of Music, which Lloyd Webber revived in 2006 at the London Palladium, and the 2002 musical Bombay Dreams."
